Date,Population,Per_Capita_Consumption_LPCD,Season_Factor,Random_Fluctuation,Total_Consumption_MLD,Crisis_Event
2015-07-29,8000000,126.35,0.95,0.998,1059.32,
2015-07-30,8000000,126.35,0.95,1.007,1064.05,
2015-07-31,8000000,126.35,0.95,1.016,1077.83,
2015-08-01,8000000,126.35,0.95,1.007,1081.36,
2015-08-02,8000000,126.35,0.95,1.009,1086.68,
2015-08-03,8000000,126.35,0.95,1.011,1094.14,
2015-08-04,8000000,126.35,0.95,0.992,1081.21,
2015-08-05,8000000,126.35,0.95,1.006,1083.64,
2015-08-06,8000000,126.35,0.95,1.009,1089.09,
2015-08-07,8000000,126.35,0.95,0.991,1076.11,
2015-08-08,8000000,126.35,0.95,0.988,1060.19,
2015-08-09,8000000,126.35,0.95,0.998,1056.05,
2015-08-10,8000000,126.35,0.95,0.995,1048.8,
2015-08-11,8000000,126.35,0.95,0.985,1032.37,
2015-08-12,8000000,126.35,0.95,0.998,1029.55,
2015-08-13,8000000,126.35,0.95,0.981,1010.49,
2015-08-14,8000000,126.35,0.95,1.011,1021.28,
2015-08-15,8000000,126.35,0.95,0.993,1014.0,
2015-08-16,8000000,126.35,0.95,0.988,1002.7,
2015-08-17,8000000,126.35,0.95,1.01,1012.37,
2015-08-18,8000000,126.35,0.95,1.003,1015.1,
2015-08-19,8000000,126.35,0.95,1.006,1020.69,
2015-08-20,8000000,126.35,0.95,0.991,1011.49,
2015-08-21,8000000,126.35,0.95,1.01,1021.05,
2015-08-22,8000000,126.35,0.95,1.01,1029.77,
2015-08-23,8000000,126.35,0.95,0.999,1027.69,
2015-08-24,8000000,126.35,0.95,1.008,1034.68,
2015-08-25,8000000,126.35,0.95,0.981,1015.08,
2015-08-26,8000000,126.35,0.95,0.994,1009.39,
2015-08-27,8000000,126.35,0.95,0.994,1003.73,
2015-08-28,8000000,126.35,0.95,0.996,1000.19,
2015-08-29,8000000,126.35,0.95,1.002,1002.27,
2015-08-30,8000000,126.35,0.95,1.003,1005.71,
2015-08-31,8000000,126.35,0.95,0.996,1001.76,
2015-09-01,8000000,126.35,0.95,0.998,1000.12,
2015-09-02,8000000,126.35,0.95,1.0,1000.4,
2015-09-03,8000000,126.35,0.95,0.992,993.22,
2015-09-04,8000000,126.35,0.95,0.996,989.93,
2015-09-05,8000000,126.35,0.95,1.02,1010.01,
2015-09-06,8000000,126.35,0.95,1.007,1016.73,
2015-09-07,8000000,126.35,0.95,0.983,999.61,
2015-09-08,8000000,126.35,0.95,0.99,990.95,
2015-09-09,8000000,126.35,0.95,1.001,993.04,
2015-09-10,8000000,126.35,0.95,0.992,986.16,
2015-09-11,8000000,126.35,0.95,1.007,993.76,
2015-09-12,8000000,126.35,0.95,1.01,1004.43,
2015-09-13,8000000,126.35,0.95,1.006,1010.16,
2015-09-14,8000000,126.35,0.95,1.022,1031.46,
2015-09-15,8000000,126.35,0.95,1.005,1035.15,
2015-09-16,8000000,126.35,0.95,0.993,1027.46,
2015-09-17,8000000,126.35,0.95,0.994,1021.0,
2015-09-18,8000000,126.35,0.95,1.004,1024.83,
2015-09-19,8000000,126.35,0.95,0.997,1020.97,
2015-09-20,8000000,126.35,0.95,0.994,1015.11,
2015-09-21,8000000,126.35,0.95,0.994,1009.02,
2015-09-22,8000000,126.35,0.95,1.003,1011.82,
2015-09-23,8000000,126.35,0.95,0.987,998.92,
2015-09-24,8000000,126.35,0.95,1.007,1006.17,
2015-09-25,8000000,126.35,0.95,1.004,1009.8,
2015-09-26,8000000,126.35,0.95,0.982,992.63,
2015-09-27,8000000,126.35,0.95,0.999,993.04,
2015-09-28,8000000,126.35,0.95,0.999,993.3,
2015-09-29,8000000,126.35,0.95,1.004,997.59,
2015-09-30,8000000,126.35,0.95,0.986,984.97,
2015-10-01,8000000,133.0,1.0,0.994,983.14,
2015-10-02,8000000,133.0,1.0,1.021,1006.86,
2015-10-03,8000000,133.0,1.0,0.99,1000.28,
2015-10-04,8000000,133.0,1.0,0.976,980.62,
2015-10-05,8000000,133.0,1.0,1.008,991.93,
2015-10-06,8000000,133.0,1.0,1.013,1007.83,
2015-10-07,8000000,133.0,1.0,1.002,1012.52,
2015-10-08,8000000,133.0,1.0,1.01,1024.44,
2015-10-09,8000000,133.0,1.0,1.0,1026.84,
2015-10-10,8000000,133.0,1.0,1.007,1035.54,
2015-10-11,8000000,133.0,1.0,0.981,1018.26,
2015-10-12,8000000,133.0,1.0,1.024,1043.43,
2015-10-13,8000000,133.0,1.0,1.004,1048.09,
2015-10-14,8000000,133.0,1.0,1.002,1050.44,
2015-10-15,8000000,133.0,1.0,1.001,1052.02,
2015-10-16,8000000,133.0,1.0,1.022,1074.17,
2015-10-17,8000000,133.0,1.0,1.004,1078.18,
2015-10-18,8000000,133.0,1.0,1.012,1089.59,
2015-10-19,8000000,133.0,1.0,1.003,1091.67,
2015-10-20,8000000,133.0,1.0,1.015,1105.79,
2015-10-21,8000000,133.0,1.0,0.996,1098.99,
2015-10-22,8000000,133.0,1.0,0.988,1084.56,
2015-10-23,8000000,133.0,1.0,1.004,1087.96,
2015-10-24,8000000,133.0,1.0,1.018,1104.89,
2015-10-25,8000000,133.0,1.0,0.995,1097.17,
2015-10-26,8000000,133.0,1.0,0.992,1087.67,
2015-10-27,8000000,133.0,1.0,0.99,1076.24,
2015-10-28,8000000,133.0,1.0,1.014,1090.27,
2015-10-29,8000000,133.0,1.0,1.001,1090.08,
2015-10-30,8000000,133.0,1.0,0.991,1079.39,
2015-10-31,8000000,133.0,1.0,0.995,1073.02,
2015-11-01,8000000,133.0,1.0,1.0,1072.59,
2015-11-02,8000000,133.0,1.0,0.995,1066.63,
2015-11-03,8000000,133.0,1.0,0.983,1049.24,
2015-11-04,8000000,133.0,1.0,0.99,1039.61,
2015-11-05,8000000,133.0,1.0,0.995,1035.96,
2015-11-06,8000000,133.0,1.0,1.018,1055.52,
2015-11-07,8000000,133.0,1.0,1.0,1055.53,
2015-11-08,8000000,133.0,1.0,1.004,1060.21,
2015-11-09,8000000,133.0,1.0,1.001,1061.25,
2015-11-10,8000000,133.0,1.0,0.994,1055.79,
2015-11-11,8000000,133.0,1.0,0.999,1054.9,
2015-11-12,8000000,133.0,1.0,1.01,1065.01,
2015-11-13,8000000,133.0,1.0,1.015,1080.38,
2015-11-14,8000000,133.0,1.0,0.995,1074.87,
2015-11-15,8000000,133.0,1.0,0.999,1073.63,
2015-11-16,8000000,133.0,1.0,1.005,1078.44,
2015-11-17,8000000,133.0,1.0,1.002,1079.96,
2015-11-18,8000000,133.0,1.0,1.014,1093.53,
2015-11-19,8000000,133.0,1.0,1.015,1107.6,
2015-11-20,8000000,133.0,1.0,1.011,1116.7,
2015-11-21,8000000,133.0,1.0,0.986,1099.21,
2015-11-22,8000000,133.0,1.0,0.999,1096.58,
2015-11-23,8000000,133.0,1.0,0.999,1094.23,
2015-11-24,8000000,133.0,1.0,0.986,1077.77,
2015-11-25,8000000,133.0,1.0,0.991,1067.76,
2015-11-26,8000000,133.0,1.0,0.99,1057.71,
2015-11-27,8000000,133.0,1.0,1.002,1059.59,
2015-11-28,8000000,133.0,1.0,1.023,1082.67,
2015-11-29,8000000,133.0,1.0,0.995,1076.17,
2015-11-30,8000000,133.0,1.0,1.003,1078.49,
2015-12-01,8000000,133.0,1.0,1.004,1081.68,
2015-12-02,8000000,133.0,1.0,0.999,1080.25,
2015-12-03,8000000,133.0,1.0,0.998,1077.44,
2015-12-04,8000000,133.0,1.0,1.007,1083.7,
2015-12-05,8000000,133.0,1.0,0.999,1081.8,
2015-12-06,8000000,133.0,1.0,1.001,1082.16,
2015-12-07,8000000,133.0,1.0,0.999,1079.88,
2015-12-08,8000000,133.0,1.0,1.007,1086.48,
2015-12-09,8000000,133.0,1.0,0.995,1080.44,
2015-12-10,8000000,133.0,1.0,1.019,1099.45,
2015-12-11,8000000,133.0,1.0,0.987,1084.08,
2015-12-12,8000000,133.0,1.0,1.004,1087.19,
2015-12-13,8000000,133.0,1.0,1.006,1092.62,
2015-12-14,8000000,133.0,1.0,0.977,1067.17,
2015-12-15,8000000,133.0,1.0,0.993,1060.18,
2015-12-16,8000000,133.0,1.0,1.008,1068.52,
2015-12-17,8000000,133.0,1.0,1.026,1094.35,
2015-12-18,8000000,133.0,1.0,0.993,1085.62,
2015-12-19,8000000,133.0,1.0,1.01,1095.19,
2015-12-20,8000000,133.0,1.0,0.997,1091.01,
2015-12-21,8000000,133.0,1.0,1.001,1090.37,
2015-12-22,8000000,133.0,1.0,1.003,1092.64,
2015-12-23,8000000,133.0,1.0,1.006,1097.92,
2015-12-24,8000000,133.0,1.0,0.995,1091.01,
2015-12-25,8000000,133.0,1.0,0.991,1079.85,
2015-12-26,8000000,133.0,1.0,0.987,1065.96,
2015-12-27,8000000,133.0,1.0,0.999,1065.34,
2015-12-28,8000000,133.0,1.0,0.984,1049.46,
