Date,Full_Capacity_mcft_CHEMBARAMBAKKAM,Full_Capacity_mcft_CHOLAVARAM,Full_Capacity_mcft_KANNANKOTTAI_THERVOY_KANDIGAI,Full_Capacity_mcft_POONDI,Full_Capacity_mcft_PUZHAL,Full_Capacity_mcft_VEERANAM,Inflow_cusecs_CHEMBARAMBAKKAM,Inflow_cusecs_CHOLAVARAM,Inflow_cusecs_KANNANKOTTAI_THERVOY_KANDIGAI,Inflow_cusecs_POONDI,Inflow_cusecs_PUZHAL,Inflow_cusecs_VEERANAM,Level_ft_CHEMBARAMBAKKAM,Level_ft_CHOLAVARAM,Level_ft_KANNANKOTTAI_THERVOY_KANDIGAI,Level_ft_POONDI,Level_ft_PUZHAL,Level_ft_VEERANAM,Outflow_cusecs_CHEMBARAMBAKKAM,Outflow_cusecs_CHOLAVARAM,Outflow_cusecs_KANNANKOTTAI_THERVOY_KANDIGAI,Outflow_cusecs_POONDI,Outflow_cusecs_PUZHAL,Outflow_cusecs_VEERANAM,Rainfall_mm_CHEMBARAMBAKKAM,Rainfall_mm_CHOLAVARAM,Rainfall_mm_KANNANKOTTAI_THERVOY_KANDIGAI,Rainfall_mm_POONDI,Rainfall_mm_PUZHAL,Rainfall_mm_VEERANAM,Storage_mcft_CHEMBARAMBAKKAM,Storage_mcft_CHOLAVARAM,Storage_mcft_KANNANKOTTAI_THERVOY_KANDIGAI,Storage_mcft_POONDI,Storage_mcft_PUZHAL,Storage_mcft_VEERANAM,Storage_Level_pct_CHEMBARAMBAKKAM,Storage_Level_pct_CHOLAVARAM,Storage_Level_pct_KANNANKOTTAI_THERVOY_KANDIGAI,Storage_Level_pct_POONDI,Storage_Level_pct_PUZHAL,Storage_Level_pct_VEERANAM,Storage_as_on_same_day_last_year_mcft_CHEMBARAMBAKKAM,Storage_as_on_same_day_last_year_mcft_CHOLAVARAM,Storage_as_on_same_day_last_year_mcft_KANNANKOTTAI_THERVOY_KANDIGAI,Storage_as_on_same_day_last_year_mcft_POONDI,Storage_as_on_same_day_last_year_mcft_PUZHAL,Storage_as_on_same_day_last_year_mcft_VEERANAM,Full_Capacity_mcft_TOTAL,Level_ft_TOTAL,Storage_mcft_TOTAL,Storage_Level_pct_TOTAL,Inflow_cusecs_TOTAL,Outflow_cusecs_TOTAL,Rainfall_mm_TOTAL,Storage_as_on_same_day_last_year_mcft_TOTAL
2015-07-01,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,,,,,,,69.44,45.04,,122.22,34.19,,93.0,,,20.0,115.0,,0.0,0.0,0.0,0.0,5.0,0.0,511.0,,,80.0,690.0,,14.02,,,2.48,20.91,,1105.0,,,105.0,1281.0,,13222.0,,1281.0,9.69,0.0,228.0,5.0,2491.0
2015-07-02,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,,,,,,,69.36,45.04,,122.26,34.11,,93.0,,,20.0,93.0,,0.0,0.0,0.0,0.0,1.0,0.0,503.0,,,78.0,682.0,,13.8,,,2.41,20.67,,1096.0,,,104.0,1269.0,,13222.0,,1263.0,9.55,0.0,206.0,1.0,2469.0
2015-07-03,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,,,,,,,69.29,45.04,,122.22,34.0,,93.0,,,20.0,116.0,,0.0,0.0,0.0,3.0,0.0,0.0,495.0,,,76.0,672.0,,13.58,,,2.35,20.36,,1087.0,,,103.0,1259.0,,13222.0,,1243.0,9.4,0.0,229.0,3.0,2449.0
2015-07-04,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,,,,,,,69.22,45.04,,122.2,33.92,,93.0,,,20.0,93.0,,0.0,0.0,0.0,0.0,0.0,2.0,487.0,,,75.0,664.0,,13.36,,,2.32,20.12,,1079.0,,,102.0,1248.0,,13222.0,,1226.0,9.27,0.0,206.0,2.0,2429.0
2015-07-05,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,,,,,,,69.15,45.04,,122.11,33.82,,93.0,,,20.0,116.0,,0.0,0.0,0.0,0.0,0.0,0.0,479.0,,,73.0,654.0,,13.14,,,2.26,19.82,,1071.0,,,100.0,1237.0,,13222.0,,1206.0,9.12,0.0,229.0,0.0,2408.0
2015-07-06,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,,,,,,,69.07,45.04,,122.05,33.73,,93.0,,,20.0,93.0,,0.0,0.0,0.0,0.0,0.0,0.0,471.0,,,71.0,646.0,,12.92,,,2.2,19.58,,1071.0,,,114.0,1226.0,,13222.0,,1188.0,8.99,0.0,206.0,0.0,2411.0
2015-07-07,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,,,,,,,69.01,45.04,,121.98,33.63,,81.0,,,20.0,116.0,,0.0,0.0,0.0,0.0,0.0,0.0,464.0,,,69.0,636.0,,12.73,,,2.14,19.27,,1063.0,,,115.0,1214.0,,13222.0,,1169.0,8.84,0.0,217.0,0.0,2392.0
2015-07-08,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,,,,,,,68.96,45.04,,121.91,33.56,,81.0,,,17.0,81.0,,0.0,0.0,0.0,0.0,0.0,0.0,458.0,,,67.0,629.0,,12.57,,,2.07,19.06,,1055.0,,,112.0,1202.0,,13222.0,,1154.0,8.73,0.0,179.0,0.0,2369.0
2015-07-09,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,,,,,,,68.89,45.04,,121.87,33.46,,81.0,,,17.0,104.0,,0.0,0.0,0.0,0.0,0.0,0.0,451.0,,,66.0,620.0,,12.37,,,2.04,18.79,,1046.0,,,109.0,1190.0,,13222.0,,1137.0,8.6,0.0,202.0,0.0,2345.0
2015-07-10,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,,,,,,,68.82,45.04,,121.8,33.38,,81.0,,,17.0,81.0,,0.0,0.0,0.0,0.0,0.0,0.0,444.0,,,64.0,613.0,,12.18,,,1.98,18.58,,1038.0,,,106.0,1178.0,,13222.0,,1121.0,8.48,0.0,179.0,0.0,2322.0
2015-07-11,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,,,,17.0,,,68.74,45.04,,121.8,33.29,,93.0,,,17.0,104.0,,15.0,12.0,0.0,8.0,7.0,7.0,436.0,,,64.0,604.0,,11.96,,,1.98,18.3,,1038.0,,,106.0,1170.0,,13222.0,,1104.0,8.35,17.0,214.0,49.0,2314.0
2015-07-12,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,,,,,,,68.68,45.04,,121.76,33.21,,81.0,,,17.0,81.0,,0.0,0.0,0.0,0.0,0.0,0.0,429.0,,,63.0,597.0,,11.77,,,1.95,18.09,,1030.0,,,104.0,1159.0,,13222.0,,1089.0,8.24,0.0,179.0,0.0,2293.0
2015-07-13,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,,,,,,,68.61,45.04,,121.67,33.12,,81.0,,,17.0,104.0,,0.0,0.0,0.0,0.0,0.0,0.0,422.0,,,61.0,588.0,,11.58,,,1.89,17.82,,1022.0,,,103.0,1150.0,,13222.0,,1071.0,8.1,0.0,202.0,0.0,2275.0
2015-07-14,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,,,,,,,68.54,45.04,,121.62,33.04,,81.0,,,17.0,81.0,,0.0,0.0,0.0,0.0,0.0,0.0,415.0,,,60.0,581.0,,11.39,,,1.86,17.61,,1015.0,,,102.0,1139.0,,13222.0,,1056.0,7.99,0.0,179.0,0.0,2256.0
2015-07-15,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,,,,12.0,,,68.48,45.04,,121.58,32.94,,81.0,,,17.0,104.0,,0.0,0.0,0.0,5.4,0.0,0.0,408.0,,,59.0,572.0,,11.19,,,1.83,17.33,,1006.0,,,101.0,1129.0,,13222.0,,1039.0,7.86,12.0,202.0,5.4,2236.0
2015-07-16,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,,,,,,,68.41,45.04,,121.47,32.86,,81.0,,,17.0,81.0,,0.0,5.0,0.0,0.0,4.0,13.0,401.0,,,57.0,565.0,,11.0,,,1.76,17.12,,997.0,,,100.0,1118.0,,13222.0,,1023.0,7.74,0.0,179.0,22.0,2215.0
