Date,Full_Capacity_mcft_CHEMBARAMBAKKAM,Full_Capacity_mcft_CHOLAVARAM,Full_Capacity_mcft_KANNANKOTTAI_THERVOY_KANDIGAI,Full_Capacity_mcft_POONDI,Full_Capacity_mcft_PUZHAL,Full_Capacity_mcft_VEERANAM,Inflow_cusecs_CHEMBARAMBAKKAM,Inflow_cusecs_CHOLAVARAM,Inflow_cusecs_KANNANKOTTAI_THERVOY_KANDIGAI,Inflow_cusecs_POONDI,Inflow_cusecs_PUZHAL,Inflow_cusecs_VEERANAM,Level_ft_CHEMBARAMBAKKAM,Level_ft_CHOLAVARAM,Level_ft_KANNANKOTTAI_THERVOY_KANDIGAI,Level_ft_POONDI,Level_ft_PUZHAL,Level_ft_VEERANAM,Outflow_cusecs_CHEMBARAMBAKKAM,Outflow_cusecs_CHOLAVARAM,Outflow_cusecs_KANNANKOTTAI_THERVOY_KANDIGAI,Outflow_cusecs_POONDI,Outflow_cusecs_PUZHAL,Outflow_cusecs_VEERANAM,Rainfall_mm_CHEMBARAMBAKKAM,Rainfall_mm_CHOLAVARAM,Rainfall_mm_KANNANKOTTAI_THERVOY_KANDIGAI,Rainfall_mm_POONDI,Rainfall_mm_PUZHAL,Rainfall_mm_VEERANAM,Storage_mcft_CHEMBARAMBAKKAM,Storage_mcft_CHOLAVARAM,Storage_mcft_KANNANKOTTAI_THERVOY_KANDIGAI,Storage_mcft_POONDI,Storage_mcft_PUZHAL,Storage_mcft_VEERANAM,Storage_Level_pct_CHEMBARAMBAKKAM,Storage_Level_pct_CHOLAVARAM,Storage_Level_pct_KANNANKOTTAI_THERVOY_KANDIGAI,Storage_Level_pct_POONDI,Storage_Level_pct_PUZHAL,Storage_Level_pct_VEERANAM,Storage_as_on_same_day_last_year_mcft_CHEMBARAMBAKKAM,Storage_as_on_same_day_last_year_mcft_CHOLAVARAM,Storage_as_on_same_day_last_year_mcft_KANNANKOTTAI_THERVOY_KANDIGAI,Storage_as_on_same_day_last_year_mcft_POONDI,Storage_as_on_same_day_last_year_mcft_PUZHAL,Storage_as_on_same_day_last_year_mcft_VEERANAM,Full_Capacity_mcft_TOTAL,Level_ft_TOTAL,Storage_mcft_TOTAL,Storage_Level_pct_TOTAL,Inflow_cusecs_TOTAL,Outflow_cusecs_TOTAL,Rainfall_mm_TOTAL,Storage_as_on_same_day_last_year_mcft_TOTAL,Rainfall_mm_day,temperature_mean_celsius,relative_humidity_mean_percent,evapotranspiration_mm_day,daily_average_water_level,Population,Per_Capita_Consumption_LPCD,Season_Factor,Random_Fluctuation,Total_Consumption_MLD,ENSO_Index,IOD_Index,ENSO_3m,IOD_3m,Water_Security_Index,Crisis_Target
2015-01-01,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.23,25.554413,87.07488,3.2484975,-6.050890000000001,8000000.0,126.35,0.95,0.998,1059.32,0.51,-0.1,0.51,-0.1,0.26283813861057137,3
2015-01-02,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.225,25.254416,90.05011,2.96765925,-6.050890000000001,8000000.0,126.35,0.95,0.998,1059.32,0.51,-0.1,0.51,-0.1,0.26506115198940544,3
2015-01-03,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.16333333333333333,25.227331,85.718834,2.9780081333333333,-6.050890000000001,8000000.0,126.35,0.95,0.998,1059.32,0.51,-0.1,0.51,-0.1,0.2647948126442801,3
2015-01-04,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.1225,24.7815,83.24976,3.1376157,-6.050890000000001,8000000.0,126.35,0.95,0.998,1059.32,0.51,-0.1,0.51,-0.1,0.26340119126777767,3
2015-01-05,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.1,24.554419,84.22237,3.16877816,-6.050890000000001,8000000.0,126.35,0.95,0.998,1059.32,0.51,-0.1,0.51,-0.1,0.2630857778677652,3
2015-01-06,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.08333333333333333,24.446083,84.5415,3.2043296333333333,-6.050890000000001,8000000.0,126.35,0.95,0.998,1059.32,0.51,-0.1,0.51,-0.1,0.2627527829356445,3
2015-01-07,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.07142857142857142,24.469004,84.82276,3.167174257142857,-6.050890000000001,8000000.0,126.35,0.95,0.998,1059.32,0.51,-0.1,0.51,-0.1,0.26301336727648156,3
2015-01-08,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.038571428571428576,23.979416,80.85128,3.1519769714285713,-6.050890000000001,8000000.0,126.35,0.95,0.998,1059.32,0.51,-0.1,0.51,-0.1,0.2630364998259884,3
2015-01-09,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.0071428571428571435,23.0065,72.73676,3.387675742857143,-6.050890000000001,8000000.0,126.35,0.95,0.998,1059.32,0.51,-0.1,0.51,-0.1,0.2610645710491458,3
2015-01-10,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.0014285714285714286,23.177332,67.70591,3.502353757142857,-6.050890000000001,8000000.0,126.35,0.95,0.998,1059.32,0.51,-0.1,0.51,-0.1,0.26013369551422033,3
2015-01-11,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.0014285714285714286,23.266914,63.770584,3.582557128571429,-6.050890000000001,8000000.0,126.35,0.95,0.998,1059.32,0.51,-0.1,0.51,-0.1,0.2594945771507358,3
