Date,Full_Capacity_mcft_CHEMBARAMBAKKAM,Full_Capacity_mcft_CHOLAVARAM,Full_Capacity_mcft_KANNANKOTTAI_THERVOY_KANDIGAI,Full_Capacity_mcft_POONDI,Full_Capacity_mcft_PUZHAL,Full_Capacity_mcft_VEERANAM,Inflow_cusecs_CHEMBARAMBAKKAM,Inflow_cusecs_CHOLAVARAM,Inflow_cusecs_KANNANKOTTAI_THERVOY_KANDIGAI,Inflow_cusecs_POONDI,Inflow_cusecs_PUZHAL,Inflow_cusecs_VEERANAM,Level_ft_CHEMBARAMBAKKAM,Level_ft_CHOLAVARAM,Level_ft_KANNANKOTTAI_THERVOY_KANDIGAI,Level_ft_POONDI,Level_ft_PUZHAL,Level_ft_VEERANAM,Outflow_cusecs_CHEMBARAMBAKKAM,Outflow_cusecs_CHOLAVARAM,Outflow_cusecs_KANNANKOTTAI_THERVOY_KANDIGAI,Outflow_cusecs_POONDI,Outflow_cusecs_PUZHAL,Outflow_cusecs_VEERANAM,Rainfall_mm_CHEMBARAMBAKKAM,Rainfall_mm_CHOLAVARAM,Rainfall_mm_KANNANKOTTAI_THERVOY_KANDIGAI,Rainfall_mm_POONDI,Rainfall_mm_PUZHAL,Rainfall_mm_VEERANAM,Storage_mcft_CHEMBARAMBAKKAM,Storage_mcft_CHOLAVARAM,Storage_mcft_KANNANKOTTAI_THERVOY_KANDIGAI,Storage_mcft_POONDI,Storage_mcft_PUZHAL,Storage_mcft_VEERANAM,Storage_Level_pct_CHEMBARAMBAKKAM,Storage_Level_pct_CHOLAVARAM,Storage_Level_pct_KANNANKOTTAI_THERVOY_KANDIGAI,Storage_Level_pct_POONDI,Storage_Level_pct_PUZHAL,Storage_Level_pct_VEERANAM,Storage_as_on_same_day_last_year_mcft_CHEMBARAMBAKKAM,Storage_as_on_same_day_last_year_mcft_CHOLAVARAM,Storage_as_on_same_day_last_year_mcft_KANNANKOTTAI_THERVOY_KANDIGAI,Storage_as_on_same_day_last_year_mcft_POONDI,Storage_as_on_same_day_last_year_mcft_PUZHAL,Storage_as_on_same_day_last_year_mcft_VEERANAM,Full_Capacity_mcft_TOTAL,Level_ft_TOTAL,Storage_mcft_TOTAL,Storage_Level_pct_TOTAL,Inflow_cusecs_TOTAL,Outflow_cusecs_TOTAL,Rainfall_mm_TOTAL,Storage_as_on_same_day_last_year_mcft_TOTAL,Rainfall_mm_day,temperature_mean_celsius,relative_humidity_mean_percent,evapotranspiration_mm_day,daily_average_water_level,Population,Per_Capita_Consumption_LPCD,Season_Factor,Random_Fluctuation,Total_Consumption_MLD,ENSO_Index,IOD_Index,ENSO_3m,IOD_3m,Water_Security_Index,Crisis_Target,Realistic_Population,Month,Season_Multiplier,Crisis_Behavior,Temp_Factor,Realistic_Total_Consumption_MLD,Historical_Crisis,Crisis_Severity_Historical,Crisis_Target_V2,Water_Stress_Duration_Days,Days_Supply_Remaining,Consecutive_Dry_Days,Heat_Wave_Risk,Critical_Reservoirs_Count,Reservoir_Risk_Diversity,Pre_Monsoon_Risk,Monsoon_Failure_Risk
2015-01-01,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.23,25.554413,87.07488,3.2484975,-6.050890000000001,8000000.0,126.35,0.95,0.998,475.41648343702207,0.51,-0.1,0.51,-0.1,0.2628381386105713,3,8000000.0,1,0.9,0.5,0.963860325,475.41648343702207,0,0,1,1,76.30924399808838,1,0.0,4,14.980637391869102,0,0
2015-01-02,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.225,25.254416,90.05011,2.96765925,-6.050890000000001,8000000.0,126.35,0.95,0.998,462.86323367539006,0.51,-0.1,0.51,-0.1,0.2650611519894054,3,8000000.0,1,0.9,0.5,0.9563604,462.86323367539006,0,0,1,2,78.37881632685455,2,0.0,4,14.980637391869102,0,0
2015-01-03,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.1633333333333333,25.227331,85.718834,2.9780081333333333,-6.050890000000001,8000000.0,126.35,0.95,0.998,473.48687445570624,0.51,-0.1,0.51,-0.1,0.2647948126442801,3,8000000.0,1,0.9,0.5,0.9556832749999999,473.48687445570624,0,0,1,3,76.62022831827285,3,0.0,4,14.980637391869102,0,0
2015-01-04,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.1225,24.7815,83.24976,3.1376157,-6.050890000000001,8000000.0,126.35,0.95,0.998,480.01941249349625,0.51,-0.1,0.51,-0.1,0.2634011912677776,3,8000000.0,1,0.9,0.5,0.9445375,480.01941249349625,0,0,1,4,75.577511058521,4,0.0,4,14.980637391869102,0,0
2015-01-05,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.1,24.554419,84.22237,3.16877816,-6.050890000000001,8000000.0,126.35,0.95,0.998,453.0809623071845,0.51,-0.1,0.51,-0.1,0.2630857778677652,3,8000000.0,1,0.9,0.5,0.938860475,453.0809623071845,0,0,1,5,80.07105870004635,5,0.0,4,14.980637391869102,0,0
2015-01-06,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.0833333333333333,24.446083,84.5415,3.2043296333333333,-6.050890000000001,8000000.0,126.35,0.95,0.998,451.77415035396217,0.51,-0.1,0.51,-0.1,0.2627527829356445,3,8000000.0,1,0.9,0.5,0.9361520750000001,451.77415035396217,0,0,1,6,80.30267401042859,6,0.0,4,14.980637391869102,0,0
2015-01-07,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.0714285714285714,24.469004,84.82276,3.167174257142857,-6.050890000000001,8000000.0,126.35,0.95,0.998,476.81642175925015,0.51,-0.1,0.51,-0.1,0.2630133672764815,3,8000000.0,1,0.9,0.5,0.9367251000000001,476.81642175925015,0,0,1,7,76.08519922153906,7,0.0,4,14.980637391869102,0,0
2015-01-08,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.0385714285714285,23.979416,80.85128,3.1519769714285717,-6.050890000000001,8000000.0,126.35,0.95,0.998,459.6441549132493,0.51,-0.1,0.51,-0.1,0.2630364998259884,3,8000000.0,1,0.9,0.5,0.9244854,459.6441549132493,0,0,1,8,78.92773566977844,8,0.0,4,14.980637391869102,0,0
2015-01-09,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.0071428571428571,23.0065,72.73676,3.387675742857143,-6.050890000000001,8000000.0,126.35,0.95,0.998,431.3174198055726,0.51,-0.1,0.51,-0.1,0.2610645710491458,3,8000000.0,1,0.9,0.5,0.9001625,431.3174198055726,0,0,1,9,84.11130770165362,9,0.0,4,14.980637391869102,0,0
2015-01-10,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.0014285714285714,23.177332,67.70591,3.502353757142857,-6.050890000000001,8000000.0,126.35,0.95,0.998,446.70912642434814,0.51,-0.1,0.51,-0.1,0.2601336955142203,3,8000000.0,1,0.9,0.5,0.9044333,446.70912642434814,0,0,1,10,81.2131880689709,10,0.0,4,14.980637391869102,0,0
