Date,Full_Capacity_mcft_CHEMBARAMBAKKAM,Full_Capacity_mcft_CHOLAVARAM,Full_Capacity_mcft_KANNANKOTTAI_THERVOY_KANDIGAI,Full_Capacity_mcft_POONDI,Full_Capacity_mcft_PUZHAL,Full_Capacity_mcft_VEERANAM,Inflow_cusecs_CHEMBARAMBAKKAM,Inflow_cusecs_CHOLAVARAM,Inflow_cusecs_KANNANKOTTAI_THERVOY_KANDIGAI,Inflow_cusecs_POONDI,Inflow_cusecs_PUZHAL,Inflow_cusecs_VEERANAM,Level_ft_CHEMBARAMBAKKAM,Level_ft_CHOLAVARAM,Level_ft_KANNANKOTTAI_THERVOY_KANDIGAI,Level_ft_POONDI,Level_ft_PUZHAL,Level_ft_VEERANAM,Outflow_cusecs_CHEMBARAMBAKKAM,Outflow_cusecs_CHOLAVARAM,Outflow_cusecs_KANNANKOTTAI_THERVOY_KANDIGAI,Outflow_cusecs_POONDI,Outflow_cusecs_PUZHAL,Outflow_cusecs_VEERANAM,Rainfall_mm_CHEMBARAMBAKKAM,Rainfall_mm_CHOLAVARAM,Rainfall_mm_KANNANKOTTAI_THERVOY_KANDIGAI,Rainfall_mm_POONDI,Rainfall_mm_PUZHAL,Rainfall_mm_VEERANAM,Storage_mcft_CHEMBARAMBAKKAM,Storage_mcft_CHOLAVARAM,Storage_mcft_KANNANKOTTAI_THERVOY_KANDIGAI,Storage_mcft_POONDI,Storage_mcft_PUZHAL,Storage_mcft_VEERANAM,Storage_Level_pct_CHEMBARAMBAKKAM,Storage_Level_pct_CHOLAVARAM,Storage_Level_pct_KANNANKOTTAI_THERVOY_KANDIGAI,Storage_Level_pct_POONDI,Storage_Level_pct_PUZHAL,Storage_Level_pct_VEERANAM,Storage_as_on_same_day_last_year_mcft_CHEMBARAMBAKKAM,Storage_as_on_same_day_last_year_mcft_CHOLAVARAM,Storage_as_on_same_day_last_year_mcft_KANNANKOTTAI_THERVOY_KANDIGAI,Storage_as_on_same_day_last_year_mcft_POONDI,Storage_as_on_same_day_last_year_mcft_PUZHAL,Storage_as_on_same_day_last_year_mcft_VEERANAM,Full_Capacity_mcft_TOTAL,Storage_mcft_TOTAL,Storage_Level_pct_TOTAL,Inflow_cusecs_TOTAL,Outflow_cusecs_TOTAL,Rainfall_mm_TOTAL,Storage_as_on_same_day_last_year_mcft_TOTAL,Rainfall_mm_day,temperature_mean_celsius,relative_humidity_mean_percent,evapotranspiration_mm_day,daily_average_water_level,Population,Per_Capita_Consumption_LPCD,Season_Factor,Random_Fluctuation,Total_Consumption_MLD,ENSO_Index,IOD_Index,ENSO_3m,IOD_3m,Water_Security_Index,Crisis_Target,year,month,quarter,day_of_year,is_monsoon,Storage_mcft_TOTAL_lag_7,Storage_mcft_TOTAL_lag_14,Storage_mcft_TOTAL_lag_30,Storage_mcft_TOTAL_lag_90,Rainfall_mm_TOTAL_lag_7,Rainfall_mm_TOTAL_lag_14,Rainfall_mm_TOTAL_lag_30,Rainfall_mm_TOTAL_lag_90,daily_average_water_level_lag_7,daily_average_water_level_lag_14,daily_average_water_level_lag_30,daily_average_water_level_lag_90,temperature_mean_celsius_lag_7,temperature_mean_celsius_lag_14,temperature_mean_celsius_lag_30,temperature_mean_celsius_lag_90,Total_Consumption_MLD_lag_7,Total_Consumption_MLD_lag_14,Total_Consumption_MLD_lag_30,Total_Consumption_MLD_lag_90,Water_Security_Index_lag_7,Water_Security_Index_lag_14,Water_Security_Index_lag_30,Water_Security_Index_lag_90,Crisis_Target_lag_7,Crisis_Target_lag_14,Crisis_Target_lag_30,Crisis_Target_lag_90,ENSO_Index_lag_7,ENSO_Index_lag_14,ENSO_Index_lag_30,ENSO_Index_lag_90,IOD_Index_lag_7,IOD_Index_lag_14,IOD_Index_lag_30,IOD_Index_lag_90,temperature_mean_celsius_roll_mean_7,temperature_mean_celsius_roll_mean_30,Storage_mcft_TOTAL_roll_mean_7,Storage_mcft_TOTAL_roll_mean_30,daily_average_water_level_roll_mean_7,daily_average_water_level_roll_mean_30,Water_Security_Index_roll_mean_7,Water_Security_Index_roll_mean_30,Rainfall_mm_TOTAL_roll_sum_7,Rainfall_mm_TOTAL_roll_sum_30,ENSO_Index_roll_mean_30,ENSO_Index_roll_mean_90,IOD_Index_roll_mean_30,IOD_Index_roll_mean_90
01-04-2015,3645,1081,500,3231,3300,1465,69,116,75,17,23,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93,100,15,20,115,45.65,0,0,0,0,0,0,511,10,204,80,690,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105,15,210,105,1281,523.4,13222,1281,9.69,0,228,0,2491,0.004285714,29.612753,72.669365,5.610435214,-6.05089,8000000,126.35,0.95,0.998,1059.32,0.7,-0.008,0.470333333,-0.223766667,0.2433435,3,2015,4,2,91,0,1281,1281,1281,1281,0,0,0,0,-6.05089,-6.05089,-6.05089,-6.05089,27.769,27.16275,27.114832,25.554413,1059.32,1059.32,1059.32,1059.32,0.242499919,0.244754067,0.252083347,0.262838139,3,3,3,3,0.47,0.47,0.47,0.51,-0.241,-0.241,-0.241,-0.1,28.86423929,27.65295843,1281,1281,-6.05089,-6.05089,0.242954872,0.246374524,0,0,0.477666667,0.470333333,-0.233233333,-0.223766667
02-04-2015,3645,1081,500,3231,3300,1465,69,116,75,17,23,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93,100,15,20,115,45.65,0,0,0,0,0,0,511,10,204,80,690,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105,15,210,105,1281,523.4,13222,1281,9.69,0,228,0,2491,0.005714286,30.339838,71.304596,5.731046943,-6.05089,8000000,126.35,0.95,0.998,1059.32,0.7,-0.008,0.472444444,-0.222744444,0.242386638,3,2015,4,2,92,0,1281,1281,1281,1281,0,0,0,0,-6.05089,-6.05089,-6.05089,-6.05089,28.054419,26.95233,27.679415,25.254416,1059.32,1059.32,1059.32,1059.32,0.242360543,0.244536701,0.252814857,0.265061152,3,3,3,3,0.47,0.47,0.47,0.51,-0.241,-0.241,-0.241,-0.1,29.19072771,27.7416392,1281,1281,-6.05089,-6.05089,0.2429586,0.246026917,0,0,0.485333333,0.472444444,-0.225466667,-0.222744444
03-04-2015,3645,1081,500,3231,3300,1465,69,116,75,17,23,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93,100,15,20,115,45.65,0,0,0,0,0,0,511,10,204,80,690,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105,15,210,105,1281,523.4,13222,1281,9.69,0,228,0,2491,0.007142857,30.71067,70.74474,5.825464171,-6.05089,8000000,126.35,0.95,0.998,1059.32,0.7,-0.008,0.474555556,-0.221722222,0.241638513,3,2015,4,2,93,0,1281,1281,1281,1281,0,0,0,0,-6.05089,-6.05089,-6.05089,-6.05089,28.512749,27.258585,27.7565,25.227331,1059.32,1059.32,1059.32,1059.32,0.24234401,0.244356282,0.253510005,0.264794813,3,3,3,3,0.47,0.47,0.47,0.51,-0.241,-0.241,-0.241,-0.1,29.50471643,27.84011153,1281,1281,-6.05089,-6.05089,0.242857814,0.245631201,0,0,0.493,0.474555556,-0.2177,-0.221722222
04-04-2015,3645,1081,500,3231,3300,1465,69,116,75,17,23,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93,100,15,20,115,45.65,0,0,0,0,0,0,511,10,204,80,690,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105,15,210,105,1281,523.4,13222,1281,9.69,0,228,0,2491,0.008571429,30.227335,73.68868,5.879327457,-6.05089,8000000,126.35,0.95,0.998,1059.32,0.7,-0.008,0.476666667,-0.2207,0.241213551,3,2015,4,2,94,0,1281,1281,1281,1281,0,0,0,0,-6.05089,-6.05089,-6.05089,-6.05089,28.618998,27.648169,27.791918,24.7815,1059.32,1059.32,1059.32,1059.32,0.242540447,0.242787794,0.253408139,0.263401191,3,3,3,3,0.47,0.47,0.47,0.51,-0.241,-0.241,-0.241,-0.1,29.73447886,27.9212921,1281,1281,-6.05089,-6.05089,0.242668258,0.245224715,0,0,0.500666667,0.476666667,-0.209933333,-0.2207
05-04-2015,3645,1081,500,3231,3300,1465,69,116,75,17,23,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93,100,15,20,115,45.65,0,0,0,0,0,0,511,10,204,80,690,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105,15,210,105,1281,523.4,13222,1281,9.69,0,228,0,2491,0.01,29.775251,70.4694,5.967879543,-6.05089,8000000,126.35,0.95,0.998,1059.32,0.7,-0.008,0.478777778,-0.219677778,0.240512164,3,2015,4,2,95,0,1281,1281,1281,1281,0,0,0,0,-6.05089,-6.05089,-6.05089,-6.05089,29.089836,28.341913,27.431501,24.554419,1059.32,1059.32,1059.32,1059.32,0.242843123,0.242162764,0.252716255,0.263085778,3,3,3,3,0.47,0.47,0.47,0.51,-0.241,-0.241,-0.241,-0.1,29.83239529,27.9994171,1281,1281,-6.05089,-6.05089,0.242335264,0.244817911,0,0,0.508333333,0.478777778,-0.202166667,-0.219677778
06-04-2015,3645,1081,500,3231,3300,1465,69,116,75,17,23,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93,100,15,20,115,45.65,0,0,0,0,0,0,511,10,204,80,690,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105,15,210,105,1281,523.4,13222,1281,9.69,0,228,0,2491,0.01,29.775248,72.72047,6.103925114,-6.05089,8000000,126.35,0.95,0.998,1059.32,0.7,-0.008,0.480888889,-0.218655556,0.239428054,3,2015,4,2,96,0,1281,1281,1281,1281,0,0,0,0,-6.05089,-6.05089,-6.05089,-6.05089,29.033585,27.844,27.196083,24.446083,1059.32,1059.32,1059.32,1059.32,0.243422744,0.241800778,0.252631343,0.262752783,3,3,3,3,0.47,0.47,0.47,0.51,-0.241,-0.241,-0.241,-0.1,29.93834714,28.08538927,1281,1281,-6.05089,-6.05089,0.241764594,0.244377802,0,0,0.516,0.480888889,-0.1944,-0.218655556
07-04-2015,3645,1081,500,3231,3300,1465,69,116,75,17,23,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93,100,15,20,115,45.65,0,0,0,0,0,0,511,10,204,80,690,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105,15,210,105,1281,523.4,13222,1281,9.69,0,228,0,2491,0.008571429,29.181498,75.74246,6.138002871,-6.05089,8000000,126.35,0.95,0.998,1059.32,0.7,-0.008,0.483,-0.217633333,0.239152239,3,2015,4,2,97,0,1281,1281,1281,1281,0,0,0,0,-6.05089,-6.05089,-6.05089,-6.05089,29.127335,27.766916,27.096085,24.469004,1059.32,1059.32,1059.32,1059.32,0.243829736,0.24212014,0.251755038,0.263013367,3,3,3,3,0.47,0.47,0.47,0.51,-0.241,-0.241,-0.241,-0.1,29.94608471,28.15490303,1281,1281,-6.05089,-6.05089,0.24109638,0.243957709,0,0,0.523666667,0.483,-0.186633333,-0.217633333
08-04-2015,3645,1081,500,3231,3300,1465,69,116,75,17,23,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93,100,15,20,115,45.65,0,0,0,0,0,0,511,10,204,80,690,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105,15,210,105,1281,523.4,13222,1281,9.69,0,228,0,2491,0.01,29.108582,74.854965,6.0410468,-6.05089,8000000,126.35,0.95,0.998,1059.32,0.7,-0.008,0.485111111,-0.216611111,0.239929114,3,2015,4,2,98,0,1281,1281,1281,1281,0,0,0,0,-6.05089,-6.05089,-6.05089,-6.05089,29.612753,27.769,26.473166,23.979416,1059.32,1059.32,1059.32,1059.32,0.2433435,0.242499919,0.250743344,0.2630365,3,3,3,3,0.7,0.47,0.47,0.51,-0.008,-0.241,-0.241,-0.1,29.87406029,28.24275023,1281,1281,-6.05089,-6.05089,0.24060861,0.243597234,0,0,0.531333333,0.485111111,-0.178866667,-0.216611111
09-04-2015,3645,1081,500,3231,3300,1465,69,116,75,17,23,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93,100,15,20,115,45.65,0,0,0,0,0,0,511,10,204,80,690,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105,15,210,105,1281,523.4,13222,1281,9.69,0,228,0,2491,0.011428571,29.410666,70.126656,5.992036443,-6.05089,8000000,126.35,0.95,0.998,1059.32,0.7,-0.008,0.487222222,-0.215588889,0.240323924,3,2015,4,2,99,0,1281,1281,1281,1281,0,0,0,0,-6.05089,-6.05089,-6.05089,-6.05089,30.339838,28.054419,26.466919,23.0065,1059.32,1059.32,1059.32,1059.32,0.242386638,0.242360543,0.250064817,0.261064571,3,3,3,3,0.7,0.47,0.47,0.51,-0.008,-0.241,-0.241,-0.1,29.74132143,28.34087513,1281,1281,-6.05089,-6.05089,0.240313937,0.243272538,0,0,0.539,0.487222222,-0.1711,-0.215588889
10-04-2015,3645,1081,500,3231,3300,1465,69,116,75,17,23,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93,100,15,20,115,45.65,0,0,0,0,0,0,511,10,204,80,690,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105,15,210,105,1281,523.4,13222,1281,9.69,0,228,0,2491,0.01,29.193998,69.84507,5.971753443,-6.05089,8000000,126.35,0.95,0.998,1059.32,0.7,-0.008,0.489333333,-0.214566667,0.240481294,3,2015,4,2,100,0,1281,1281,1281,1281,0,0,0,0,-6.05089,-6.05089,-6.05089,-6.05089,30.71067,28.512749,27.614832,23.177332,1059.32,1059.32,1059.32,1059.32,0.241638513,0.24234401,0.249024692,0.260133696,3,3,3,3,0.7,0.47,0.47,0.51,-0.008,-0.241,-0.241,-0.1,29.524654,28.393514,1281,1281,-6.05089,-6.05089,0.24014862,0.242987758,0,0,0.546666667,0.489333333,-0.163333333,-0.214566667
