Year,Month,ENSO_Index
1950,Jan,-1.62
1950,Feb,-1.32
1950,Mar,-1.07
1950,Apr,-1.11
1950,May,-1.37
1950,Jun,-0.74
1950,Jul,-0.44
1950,Aug,-0.42
1950,Sep,-0.41
1950,Oct,-0.32
1950,Nov,-0.6
1950,Dec,-0.88
1951,Jan,-0.92
1951,Feb,-0.66
1951,Mar,-0.04
1951,Apr,0.2
1951,May,0.37
1951,Jun,0.52
1951,Jul,0.87
1951,Aug,0.71
1951,Sep,1.08
1951,Oct,1.19
1951,Nov,1.19
1951,Dec,0.74
1952,Jan,0.49
1952,Feb,0.37
1952,Mar,0.24
1952,Apr,0.42
1952,May,0.23
1952,Jun,-0.03
1952,Jul,-0.2
1952,Aug,-0.0
1952,Sep,0.21
1952,Oct,0.25
1952,Nov,-0.14
1952,Dec,0.03
1953,Jan,0.56
1953,Feb,0.61
1953,Mar,0.62
1953,Apr,0.64
1953,May,0.71
1953,Jun,0.9
1953,Jul,0.7
1953,Aug,0.63
1953,Sep,0.85
1953,Oct,0.86
1953,Nov,0.82
1953,Dec,0.83
1954,Jan,0.8
1954,Feb,0.64
1954,Mar,-0.04
1954,Apr,-0.74
1954,May,-0.45
1954,Jun,-0.42
1954,Jul,-0.62
1954,Aug,-0.88
1954,Sep,-1.03
1954,Oct,-0.78
1954,Nov,-0.5
1954,Dec,-0.91
1955,Jan,-0.56
1955,Feb,-0.57
1955,Mar,-0.72
1955,Apr,-0.78
1955,May,-0.91
1955,Jun,-0.67
1955,Jul,-0.58
1955,Aug,-0.8
1955,Sep,-0.87
1955,Oct,-1.6
1955,Nov,-1.81
1955,Dec,-1.61
1956,Jan,-0.99
1956,Feb,-0.74
1956,Mar,-0.54
1956,Apr,-0.6
1956,May,-0.46
1956,Jun,-0.48
1956,Jul,-0.58
1956,Aug,-0.65
1956,Sep,-0.43
1956,Oct,-0.29
1956,Nov,-0.54
1956,Dec,-0.47
1957,Jan,-0.29
1957,Feb,0.02
1957,Mar,0.45
1957,Apr,0.77
1957,May,0.94
1957,Jun,1.05
1957,Jul,1.34
1957,Aug,1.36
1957,Sep,1.27
1957,Oct,1.37
1957,Nov,1.52
1957,Dec,1.71
1958,Jan,1.98
1958,Feb,1.72
1958,Mar,1.26
1958,Apr,0.81
1958,May,0.71
1958,Jun,0.69
1958,Jul,0.51
1958,Aug,0.52
1958,Sep,0.25
1958,Oct,0.41
1958,Nov,0.65
1958,Dec,0.44
1959,Jan,0.74
1959,Feb,0.67
1959,Mar,0.46
1959,Apr,0.42
1959,May,0.1
1959,Jun,0.07
1959,Jul,-0.37
1959,Aug,-0.24
1959,Sep,-0.23
1959,Oct,0.2
1959,Nov,-0.06
1959,Dec,0.0
1960,Jan,-0.07
1960,Feb,-0.22
1960,Mar,-0.02
1960,Apr,0.03
1960,May,0.08
1960,Jun,-0.06
1960,Jul,0.07
1960,Aug,0.36
1960,Sep,0.28
1960,Oct,0.18
1960,Nov,0.15
1960,Dec,0.04
1961,Jan,-0.04
1961,Feb,0.1
1961,Mar,0.02
1961,Apr,-0.0
1961,May,0.26
1961,Jun,0.44
1961,Jul,0.11
1961,Aug,-0.12
1961,Sep,-0.38
1961,Oct,-0.38
1961,Nov,-0.01
1961,Dec,-0.16
1962,Jan,-0.3
1962,Feb,-0.26
1962,Mar,-0.11
1962,Apr,-0.24
1962,May,-0.44
1962,Jun,-0.14
1962,Jul,-0.0
1962,Aug,0.02
1962,Sep,-0.23
1962,Oct,-0.12
1962,Nov,-0.32
1962,Dec,-0.47
1963,Jan,-0.5
1963,Feb,-0.23
1963,Mar,0.26
1963,Apr,0.41
1963,May,0.14
1963,Jun,0.39
1963,Jul,1.02
1963,Aug,1.17
1963,Sep,1.23
1963,Oct,1.26
1963,Nov,1.39
1963,Dec,1.47
1964,Jan,1.06
1964,Feb,0.68
1964,Mar,0.1
1964,Apr,-0.42
1964,May,-0.67
1964,Jun,-0.64
1964,Jul,-0.43
1964,Aug,-0.72
1964,Sep,-0.84
1964,Oct,-0.73
1964,Nov,-0.82
1964,Dec,-0.92
1965,Jan,-0.61
1965,Feb,-0.25
1965,Mar,0.03
1965,Apr,0.01
1965,May,0.5
1965,Jun,0.86
1965,Jul,1.14
1965,Aug,1.66
1965,Sep,1.84
1965,Oct,2.06
1965,Nov,2.03
1965,Dec,1.81
1966,Jan,1.31
1966,Feb,1.0
1966,Mar,1.19
1966,Apr,0.76
1966,May,0.02
1966,Jun,0.29
1966,Jul,0.42
1966,Aug,0.02
1966,Sep,-0.07
1966,Oct,-0.11
1966,Nov,-0.12
1966,Dec,-0.31
1967,Jan,-0.48
1967,Feb,-0.44
1967,Mar,-0.51
1967,Apr,-0.66
1967,May,-0.18
1967,Jun,0.12
1967,Jul,0.06
1967,Aug,-0.03
1967,Sep,-0.49
1967,Oct,-0.36
1967,Nov,-0.28
1967,Dec,-0.38
1968,Jan,-0.66
1968,Feb,-0.86
1968,Mar,-0.68
1968,Apr,-0.3
1968,May,-0.34
1968,Jun,0.52
1968,Jul,0.66
1968,Aug,0.54
1968,Sep,0.38
1968,Oct,0.42
1968,Nov,0.85
1968,Dec,0.94
1969,Jan,1.14
1969,Feb,1.31
1969,Mar,0.81
1969,Apr,0.73
1969,May,0.76
1969,Jun,0.35
1969,Jul,0.18
1969,Aug,0.56
1969,Sep,0.81
1969,Oct,1.01
1969,Nov,0.76
1969,Dec,0.66
1970,Jan,0.48
1970,Feb,0.41
1970,Mar,0.13
1970,Apr,0.34
1970,May,0.1
1970,Jun,-0.31
1970,Jul,-0.7
1970,Aug,-0.87
1970,Sep,-0.7
1970,Oct,-0.73
1970,Nov,-0.78
1970,Dec,-1.06
1971,Jan,-1.6
1971,Feb,-1.42
1971,Mar,-1.13
1971,Apr,-0.8
1971,May,-0.61
1971,Jun,-0.78
1971,Jul,-0.82
1971,Aug,-0.79
1971,Sep,-0.71
1971,Oct,-0.96
1971,Nov,-0.88
1971,Dec,-1.03
1972,Jan,-0.78
1972,Feb,-0.3
1972,Mar,0.03
1972,Apr,0.45
1972,May,0.75
1972,Jun,0.8
1972,Jul,1.2
1972,Aug,1.4
1972,Sep,1.52
1972,Oct,1.83
1972,Nov,2.17
1972,Dec,2.28
1973,Jan,1.92
1973,Feb,1.34
1973,Mar,0.49
1973,Apr,-0.19
1973,May,-0.59
1973,Jun,-0.83
1973,Jul,-1.18
1973,Aug,-1.31
1973,Sep,-1.36
1973,Oct,-1.69
1973,Nov,-2.09
1973,Dec,-2.06
1974,Jan,-1.95
1974,Feb,-1.5
1974,Mar,-1.21
1974,Apr,-0.97
1974,May,-0.91
1974,Jun,-0.85
1974,Jul,-0.55
1974,Aug,-0.21
1974,Sep,-0.35
1974,Oct,-0.66
1974,Nov,-0.82
1974,Dec,-0.78
1975,Jan,-0.32
1975,Feb,-0.53
1975,Mar,-0.86
1975,Apr,-0.58
1975,May,-0.76
1975,Jun,-1.15
1975,Jul,-1.04
1975,Aug,-1.2
1975,Sep,-1.37
1975,Oct,-1.54
1975,Nov,-1.38
1975,Dec,-1.73
1976,Jan,-1.84
1976,Feb,-1.09
1976,Mar,-0.58
1976,Apr,-0.53
1976,May,-0.31
1976,Jun,-0.0
1976,Jul,0.17
1976,Aug,0.38
