Year,Month,IOD_Index
1870,Jan,-0.438
1870,Feb,-0.336
1870,Mar,0.177
1870,Apr,-0.048
1870,May,-0.48
1870,Jun,-0.548
1870,Jul,-0.65
1870,Aug,-0.522
1870,Sep,-0.728
1870,Oct,-0.636
1870,Nov,-0.401
1870,Dec,-0.375
1871,Jan,-0.273
1871,Feb,-0.17
1871,Mar,-0.212
1871,Apr,-0.148
1871,May,-0.115
1871,Jun,-0.163
1871,Jul,-0.444
1871,Aug,-0.375
1871,Sep,-0.336
1871,Oct,-0.527
1871,Nov,-0.217
1871,Dec,-0.228
1872,Jan,-0.037
1872,Feb,0.041
1872,Mar,-0.076
1872,Apr,-0.084
1872,May,-0.148
1872,Jun,-0.084
1872,Jul,-0.285
1872,Aug,-0.325
1872,Sep,-0.333
1872,Oct,-0.27
1872,Nov,-0.106
1872,Dec,-0.111
1873,Jan,0.062
1873,Feb,-0.319
1873,Mar,-0.404
1873,Apr,-0.272
1873,May,-0.411
1873,Jun,-0.587
1873,Jul,-0.689
1873,Aug,-0.8
1873,Sep,-0.694
1873,Oct,-0.479
1873,Nov,-0.353
1873,Dec,-0.303
1874,Jan,-0.381
1874,Feb,-0.388
1874,Mar,-0.586
1874,Apr,-0.754
1874,May,-0.441
1874,Jun,-0.465
1874,Jul,-0.338
1874,Aug,-0.345
1874,Sep,-0.814
1874,Oct,-1.158
1874,Nov,-0.603
1874,Dec,-0.79
1875,Jan,-0.45
1875,Feb,-0.186
1875,Mar,-0.098
1875,Apr,0.029
1875,May,-0.134
1875,Jun,-0.094
1875,Jul,-0.511
1875,Aug,-0.248
1875,Sep,-0.397
1875,Oct,-0.658
1875,Nov,-0.891
1875,Dec,-0.46
1876,Jan,-0.361
1876,Feb,-0.504
1876,Mar,-0.402
1876,Apr,-0.476
1876,May,-0.471
1876,Jun,-0.424
1876,Jul,-0.391
1876,Aug,-0.267
1876,Sep,-0.079
1876,Oct,-0.213
1876,Nov,-0.358
1876,Dec,-0.297
1877,Jan,-0.311
1877,Feb,0.367
1877,Mar,0.13
1877,Apr,-0.28
1877,May,-0.684
1877,Jun,-0.49
1877,Jul,-0.588
1877,Aug,0.214
1877,Sep,0.52
1877,Oct,0.417
1877,Nov,0.558
1877,Dec,0.154
1878,Jan,-0.261
1878,Feb,-0.398
1878,Mar,-0.016
1878,Apr,-0.085
1878,May,-0.355
1878,Jun,-0.311
1878,Jul,-0.383
1878,Aug,-0.272
1878,Sep,-0.208
1878,Oct,-0.674
1878,Nov,-0.461
1878,Dec,-0.47
1879,Jan,-0.429
1879,Feb,-0.417
1879,Mar,-0.453
1879,Apr,-0.541
1879,May,-0.513
1879,Jun,-0.274
1879,Jul,-0.374
1879,Aug,-0.64
1879,Sep,-0.591
1879,Oct,-0.789
1879,Nov,-0.761
1879,Dec,-0.606
1880,Jan,-0.463
1880,Feb,-0.262
1880,Mar,-0.327
1880,Apr,0.002
1880,May,-0.14
1880,Jun,-0.299
1880,Jul,-0.528
1880,Aug,-0.586
1880,Sep,-0.574
1880,Oct,-0.755
1880,Nov,-0.553
1880,Dec,-0.348
1881,Jan,-0.174
1881,Feb,-0.507
1881,Mar,-0.349
1881,Apr,-0.45
1881,May,-0.14
1881,Jun,0.18
1881,Jul,-0.116
1881,Aug,-0.077
1881,Sep,-0.299
1881,Oct,-0.462
1881,Nov,-0.376
1881,Dec,-0.496
1882,Jan,-0.557
1882,Feb,-0.68
1882,Mar,-0.149
1882,Apr,-0.134
1882,May,-0.068
1882,Jun,-0.071
1882,Jul,-0.233
1882,Aug,-0.497
1882,Sep,-0.652
1882,Oct,-0.51
1882,Nov,-0.377
1882,Dec,-0.431
1883,Jan,-0.705
1883,Feb,-0.207
1883,Mar,-0.303
1883,Apr,-0.126
1883,May,-0.19
1883,Jun,-0.084
1883,Jul,-0.288
1883,Aug,-0.124
1883,Sep,-0.502
1883,Oct,-0.348
1883,Nov,-0.36
1883,Dec,-0.325
1884,Jan,-0.408
1884,Feb,-0.183
1884,Mar,-0.312
1884,Apr,0.075
1884,May,0.249
1884,Jun,-0.203
1884,Jul,-0.003
1884,Aug,-0.306
1884,Sep,-0.471
1884,Oct,-0.368
1884,Nov,-0.474
1884,Dec,-0.417
1885,Jan,-0.463
1885,Feb,-0.09
1885,Mar,-0.169
1885,Apr,-0.198
1885,May,-0.199
1885,Jun,-0.13
1885,Jul,-0.218
1885,Aug,-0.23
1885,Sep,-0.351
1885,Oct,-0.218
1885,Nov,-0.475
1885,Dec,-0.385
1886,Jan,-0.614
1886,Feb,-0.766
1886,Mar,-0.455
1886,Apr,-0.282
1886,May,-0.445
1886,Jun,-0.347
1886,Jul,-0.725
1886,Aug,-0.918
1886,Sep,-0.988
1886,Oct,-0.897
1886,Nov,-0.684
1886,Dec,-0.56
1887,Jan,-0.459
1887,Feb,-0.389
1887,Mar,-0.282
1887,Apr,-0.258
1887,May,-0.291
1887,Jun,-0.171
1887,Jul,-0.232
1887,Aug,-0.009
1887,Sep,-0.285
1887,Oct,-0.517
